player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Zion Williamson,1629627,2024-11-22,NOP vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Zion Williamson,True
Zion Williamson,1629627,2024-11-25,NOP @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Zion Williamson,True
Zion Williamson,1629627,2024-11-27,NOP vs. TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,HOME,Zion Williamson,True
Zion Williamson,1629627,2024-11-29,NOP @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Zion Williamson,True
Zion Williamson,1629627,2024-12-01,NOP @ NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,AWAY,Zion Williamson,True
Zion Williamson,1629627,2024-12-02,NOP @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Zion Williamson,True
Zion Williamson,1629627,2024-12-05,NOP vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,Zion Williamson,True
Zion Williamson,1629627,2024-12-07,NOP vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Zion Williamson,True
Zion Williamson,1629627,2024-12-08,NOP @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Zion Williamson,True
Zion Williamson,1629627,2024-12-12,NOP vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Zion Williamson,True
Zion Williamson,1629627,2024-12-15,NOP @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Zion Williamson,True
Zion Williamson,1629627,2024-12-19,NOP @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Zion Williamson,True
Zion Williamson,1629627,2024-12-21,NOP vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Zion Williamson,True
Zion Williamson,1629627,2024-12-22,NOP vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Zion Williamson,True
Zion Williamson,1629627,2024-12-26,NOP vs. HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,HOME,Zion Williamson,True
Zion Williamson,1629627,2024-12-27,NOP vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Zion Williamson,True
Zion Williamson,1629627,2024-12-30,NOP vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-01-01,NOP @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Zion Williamson,True
Zion Williamson,1629627,2025-01-03,NOP vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-01-05,NOP @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Zion Williamson,True
Zion Williamson,1629627,2025-01-07,NOP vs. MIN,L,28.0,9,15,0.6,0,2,0.0,4,9,0.444,4,2,6,4,3,1,4,3,22,8,MIN,HOME,Zion Williamson,False
Zion Williamson,1629627,2025-01-08,NOP vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-01-10,NOP @ PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,Zion Williamson,True
Zion Williamson,1629627,2025-01-12,NOP @ BOS,L,28.0,5,15,0.333,0,2,0.0,6,7,0.857,1,6,7,3,5,0,2,1,16,4,BOS,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-01-14,NOP @ CHI,W,24.0,10,14,0.714,0,0,0.0,1,4,0.25,5,2,7,9,0,1,4,3,21,7,CHI,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-01-15,NOP vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-01-17,NOP vs. UTA,W,23.0,11,21,0.524,0,0,0.0,2,5,0.4,8,6,14,6,0,3,2,4,24,5,UTA,HOME,Zion Williamson,False
Zion Williamson,1629627,2025-01-20,NOP vs. UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-01-24,NOP @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Zion Williamson,True
Zion Williamson,1629627,2025-01-25,NOP @ CHA,L,26.0,11,20,0.55,0,0,0.0,6,8,0.75,3,8,11,2,1,1,4,4,28,-20,CHA,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-01-27,NOP @ TOR,L,27.0,13,18,0.722,0,0,0.0,5,8,0.625,0,7,7,2,0,3,3,4,31,-11,TOR,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-01-29,NOP vs. DAL,L,28.0,11,18,0.611,0,1,0.0,7,9,0.778,4,2,6,7,2,0,2,1,29,7,DAL,HOME,Zion Williamson,False
Zion Williamson,1629627,2025-01-31,NOP vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-02-03,NOP @ DEN,L,28.0,5,13,0.385,0,0,0.0,4,6,0.667,1,5,6,5,1,1,1,3,14,1,DEN,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-02-05,NOP @ DEN,L,27.0,11,19,0.579,0,0,0.0,6,9,0.667,2,4,6,4,2,0,3,0,28,-5,DEN,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-02-08,NOP @ SAC,L,28.0,16,21,0.762,0,0,0.0,8,11,0.727,1,3,4,4,2,0,3,4,40,4,SAC,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-02-10,NOP @ OKC,L,26.0,6,11,0.545,0,0,0.0,5,9,0.556,1,1,2,5,1,0,5,5,17,-26,OKC,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-02-12,NOP vs. SAC,L,28.0,13,18,0.722,1,1,1.0,6,9,0.667,3,6,9,7,2,0,1,4,33,13,SAC,HOME,Zion Williamson,False
Zion Williamson,1629627,2025-02-13,NOP vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-02-21,NOP @ DAL,L,27.0,11,15,0.733,0,0,0.0,7,11,0.636,3,4,7,3,2,0,3,3,29,0,DAL,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-02-23,NOP vs. SAS,W,28.0,8,17,0.471,0,0,0.0,6,10,0.6,2,7,9,3,2,2,1,1,22,23,SAS,HOME,Zion Williamson,False
Zion Williamson,1629627,2025-02-25,NOP vs. SAS,W,29.0,8,15,0.533,0,0,0.0,2,3,0.667,4,2,6,3,1,0,6,2,18,2,SAS,HOME,Zion Williamson,False
Zion Williamson,1629627,2025-02-27,NOP @ PHX,W,31.0,13,17,0.765,0,0,0.0,1,4,0.25,4,6,10,11,0,2,2,1,27,17,PHX,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-02-28,NOP @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Zion Williamson,True
Zion Williamson,1629627,2025-03-02,NOP @ UTA,W,29.0,11,18,0.611,0,1,0.0,2,3,0.667,1,5,6,9,2,0,1,1,24,2,UTA,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-03-04,NOP @ LAL,L,26.0,17,23,0.739,0,0,0.0,3,6,0.5,1,3,4,6,1,1,0,3,37,13,LAL,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-03-06,NOP vs. HOU,L,32.0,5,15,0.333,0,0,0.0,10,12,0.833,4,6,10,3,1,2,4,3,20,-18,HOU,HOME,Zion Williamson,False
Zion Williamson,1629627,2025-03-08,NOP @ HOU,L,28.0,10,19,0.526,0,0,0.0,0,2,0.0,2,0,2,3,2,0,4,2,20,-37,HOU,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-03-09,NOP vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-03-11,NOP vs. LAC,W,33.0,8,13,0.615,0,0,0.0,6,6,1.0,1,9,10,12,0,1,5,2,22,6,LAC,HOME,Zion Williamson,False
Zion Williamson,1629627,2025-03-13,NOP vs. ORL,L,28.0,8,15,0.533,0,0,0.0,4,6,0.667,3,5,8,5,0,0,2,2,20,-14,ORL,HOME,Zion Williamson,False
Zion Williamson,1629627,2025-03-15,NOP @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Zion Williamson,True
Zion Williamson,1629627,2025-03-17,NOP vs. DET,L,28.0,9,18,0.5,0,0,0.0,12,15,0.8,2,4,6,3,0,2,3,3,30,-18,DET,HOME,Zion Williamson,False
Zion Williamson,1629627,2025-03-19,NOP @ MIN,W,30.0,12,16,0.75,0,0,0.0,5,9,0.556,0,5,5,8,3,0,3,5,29,9,MIN,AWAY,Zion Williamson,False
Zion Williamson,1629627,2025-03-21,NOP @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,Zion Williamson,True
Zion Williamson,1629627,2025-03-23,NOP @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Zion Williamson,True
Zion Williamson,1629627,2025-03-24,NOP vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-03-28,NOP vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-03-30,NOP vs. CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-04-02,NOP @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Zion Williamson,True
Zion Williamson,1629627,2025-04-04,NOP @ LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,AWAY,Zion Williamson,True
Zion Williamson,1629627,2025-04-06,NOP vs. MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-04-08,NOP @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,Zion Williamson,True
Zion Williamson,1629627,2025-04-10,NOP @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Zion Williamson,True
Zion Williamson,1629627,2025-04-11,NOP vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,Zion Williamson,True
Zion Williamson,1629627,2025-04-13,NOP vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Zion Williamson,True
